
Zeit;Weg;Kraft;Biegespannung;
s;mm;N;N/mm²;
2.45;0.344;-0.70;-0.10;
2.46;0.345;-0.80;-0.12;
2.46;0.345;-0.00;-0.00;
2.47;0.345;0.40;0.06;
2.47;0.347;0.80;0.12;
2.48;0.347;0.70;0.10;
2.48;0.347;0.10;0.01;
2.49;0.348;-0.00;-0.00;
2.49;0.349;-0.30;-0.04;
2.50;0.349;-0.00;-0.00;
2.51;0.350;0.20;0.03;
2.51;0.350;-0.60;-0.09;
2.52;0.350;-0.70;-0.10;
2.52;0.351;-0.70;-0.10;
2.53;0.352;-0.80;-0.12;
2.53;0.352;-0.10;-0.01;
2.54;0.352;0.80;0.12;
2.54;0.354;1.40;0.20;
2.55;0.354;1.40;0.20;
2.55;0.354;1.30;0.19;
2.56;0.355;1.20;0.18;
2.56;0.356;1.00;0.15;
2.57;0.356;1.00;0.15;
2.57;0.357;0.60;0.09;
2.58;0.357;0.60;0.09;
2.58;0.358;0.60;0.09;
2.59;0.359;0.80;0.12;
2.59;0.359;0.90;0.13;
2.60;0.360;0.20;0.03;
2.60;0.361;-0.60;-0.09;
2.61;0.361;-0.70;-0.10;
2.61;0.362;-0.60;-0.09;
2.62;0.363;-0.50;-0.07;
2.62;0.363;-0.30;-0.04;
2.63;0.364;-0.00;-0.00;
2.63;0.364;0.20;0.03;
2.63;0.365;-0.30;-0.04;
2.64;0.366;0.20;0.03;
2.64;0.366;-0.00;-0.00;
2.65;0.367;-0.70;-0.10;
2.65;0.368;-0.00;-0.00;
2.66;0.368;-0.00;-0.00;
2.66;0.369;0.10;0.01;
2.67;0.370;1.00;0.15;
2.67;0.370;0.90;0.13;
2.68;0.371;0.70;0.10;
2.68;0.371;0.20;0.03;
2.69;0.372;-0.30;-0.04;
2.69;0.373;-0.10;-0.01;
2.70;0.373;-0.50;-0.07;
2.70;0.374;-0.50;-0.07;
2.71;0.375;-1.00;-0.15;
2.71;0.375;-1.80;-0.26;
2.72;0.376;-1.30;-0.19;
2.72;0.377;-1.60;-0.23;
2.73;0.377;-1.30;-0.19;
2.73;0.378;-0.80;-0.12;
2.74;0.379;-0.80;-0.12;
2.74;0.380;-0.00;-0.00;
2.75;0.380;0.80;0.12;
2.76;0.381;1.20;0.18;
2.76;0.382;1.30;0.19;
2.77;0.382;1.60;0.23;
2.77;0.383;1.00;0.15;
2.78;0.384;0.90;0.13;
2.78;0.384;0.80;0.12;
2.79;0.385;-0.00;-0.00;
2.79;0.386;0.50;0.07;
2.80;0.386;0.60;0.09;
2.80;0.387;0.30;0.04;
2.81;0.387;0.90;0.13;
2.81;0.388;-0.30;-0.04;
2.82;0.389;-0.70;-0.10;
2.82;0.389;-0.30;-0.04;
2.83;0.390;-1.10;-0.16;
2.83;0.391;-0.70;-0.10;
2.84;0.391;-0.70;-0.10;
2.84;0.392;-1.00;-0.15;
2.85;0.393;0.10;0.01;
2.85;0.394;0.80;0.12;
2.86;0.394;1.00;0.15;
2.86;0.394;1.40;0.20;
2.87;0.396;-0.30;-0.04;
2.87;0.396;-0.40;-0.06;
2.88;0.396;0.40;0.06;
2.88;0.398;0.20;0.03;
2.88;0.398;0.90;0.13;
2.89;0.398;0.10;0.01;
2.89;0.400;-0.90;-0.13;
2.90;0.400;-1.30;-0.19;
2.90;0.400;-0.90;-0.13;
2.91;0.401;-0.90;-0.13;
2.91;0.402;-0.90;-0.13;
2.92;0.403;-0.40;-0.06;
2.92;0.403;-0.50;-0.07;
2.93;0.404;-0.80;-0.12;
2.93;0.405;-1.40;-0.20;
2.94;0.405;-1.30;-0.19;
2.94;0.406;-1.60;-0.23;
2.95;0.407;-1.40;-0.20;
2.95;0.407;-0.90;-0.13;
2.96;0.408;-0.70;-0.10;
2.96;0.408;0.20;0.03;
2.97;0.410;1.20;0.18;
2.97;0.410;1.10;0.16;
2.98;0.410;0.70;0.10;
2.98;0.412;0.40;0.06;
2.99;0.412;-0.10;-0.01;
2.99;0.412;0.50;0.07;
3.00;0.414;0.40;0.06;
3.01;0.414;0.30;0.04;
3.01;0.414;0.40;0.06;
3.02;0.415;0.10;0.01;
3.02;0.416;-0.20;-0.03;
3.03;0.417;-0.30;-0.04;
3.03;0.417;0.20;0.03;
3.04;0.418;0.10;0.01;
3.04;0.419;0.60;0.09;
3.05;0.419;0.60;0.09;
3.05;0.420;0.30;0.04;
3.06;0.421;1.30;0.19;
3.06;0.421;1.40;0.20;
3.07;0.422;1.20;0.18;
3.07;0.423;0.50;0.07;
3.08;0.423;-0.30;-0.04;
3.08;0.424;-0.20;-0.03;
3.09;0.424;0.10;0.01;
3.09;0.425;0.30;0.04;
3.10;0.426;-0.10;-0.01;
3.10;0.426;-0.00;-0.00;
3.11;0.427;-0.60;-0.09;
3.11;0.428;0.20;0.03;
3.12;0.428;0.70;0.10;
3.12;0.429;-0.10;-0.01;
3.13;0.430;0.90;0.13;
3.13;0.431;0.10;0.01;
3.13;0.431;-0.30;-0.04;
3.14;0.432;0.40;0.06;
3.14;0.433;-0.10;-0.01;
3.15;0.433;-0.20;-0.03;
3.15;0.434;-0.90;-0.13;
3.16;0.435;-0.70;-0.10;
3.16;0.435;-0.50;-0.07;
3.17;0.436;0.20;0.03;
3.17;0.437;0.30;0.04;
3.18;0.438;0.20;0.03;
3.18;0.438;-0.20;-0.03;
3.19;0.438;-0.30;-0.04;
3.19;0.439;-0.50;-0.07;
3.20;0.440;-0.50;-0.07;
3.20;0.440;-0.30;-0.04;
3.21;0.441;-0.70;-0.10;
3.21;0.442;0.40;0.06;
3.22;0.442;0.20;0.03;
3.22;0.444;0.80;0.12;
3.23;0.444;1.20;0.18;
3.23;0.444;0.40;0.06;
3.24;0.445;0.30;0.04;
3.24;0.446;-0.20;-0.03;
3.25;0.447;-0.50;-0.07;
3.26;0.447;-0.10;-0.01;
3.26;0.448;0.70;0.10;
3.27;0.449;0.70;0.10;
3.27;0.449;0.90;0.13;
3.28;0.450;1.40;0.20;
3.28;0.451;1.10;0.16;
3.29;0.451;1.80;0.26;
3.29;0.452;2.40;0.35;
3.30;0.452;2.10;0.31;
3.30;0.454;1.60;0.23;
3.31;0.454;1.40;0.20;
3.31;0.454;1.10;0.16;
3.32;0.456;1.00;0.15;
3.32;0.456;1.60;0.23;
3.33;0.456;1.50;0.22;
3.33;0.458;1.50;0.22;
3.34;0.458;1.40;0.20;
3.34;0.458;1.60;0.23;
3.35;0.460;1.00;0.15;
3.35;0.460;0.80;0.12;
3.36;0.461;1.50;0.22;
3.36;0.461;0.30;0.04;
3.37;0.462;0.10;0.01;
3.37;0.463;-0.20;-0.03;
3.38;0.463;-0.60;-0.09;
3.38;0.464;0.20;0.03;
3.38;0.465;0.40;0.06;
3.39;0.465;0.10;0.01;
3.39;0.466;-0.40;-0.06;
3.40;0.467;-1.20;-0.18;
3.40;0.467;-1.20;-0.18;
3.41;0.468;-0.50;-0.07;
3.41;0.468;-0.80;-0.12;
3.42;0.469;-0.70;-0.10;
3.42;0.470;-0.50;-0.07;
3.43;0.470;-0.40;-0.06;
3.43;0.471;0.10;0.01;
3.44;0.472;0.50;0.07;
3.44;0.472;0.90;0.13;
3.45;0.473;0.30;0.04;
3.45;0.474;0.40;0.06;
3.46;0.475;-0.00;-0.00;
3.46;0.475;-1.00;-0.15;
3.47;0.476;-0.40;-0.06;
3.47;0.477;-0.00;-0.00;
3.48;0.477;0.50;0.07;
3.48;0.478;1.60;0.23;
3.49;0.479;1.50;0.22;
3.49;0.479;0.70;0.10;
3.50;0.480;0.70;0.10;
3.51;0.481;0.50;0.07;
3.51;0.481;0.40;0.06;
3.52;0.482;0.80;0.12;
3.52;0.482;0.80;0.12;
3.53;0.483;0.70;0.10;
3.53;0.484;0.80;0.12;
3.54;0.484;1.20;0.18;
3.54;0.485;1.00;0.15;
3.55;0.486;0.70;0.10;
3.55;0.486;0.40;0.06;
3.56;0.487;-0.60;-0.09;
3.56;0.488;-1.20;-0.18;
3.57;0.488;-0.60;-0.09;
3.57;0.489;-0.60;-0.09;
3.58;0.490;-0.20;-0.03;
3.58;0.491;-0.10;-0.01;
3.59;0.491;-0.10;-0.01;
3.59;0.492;-0.00;-0.00;
3.60;0.493;0.30;0.04;
3.60;0.493;0.70;0.10;
3.61;0.494;-0.00;-0.00;
3.61;0.495;0.30;0.04;
3.62;0.495;0.20;0.03;
3.62;0.496;0.10;0.01;
3.63;0.496;0.50;0.07;
3.63;0.497;-0.40;-0.06;
3.63;0.498;-0.70;-0.10;
3.64;0.498;-0.90;-0.13;
3.64;0.499;-1.40;-0.20;
3.65;0.500;-1.00;-0.15;
3.65;0.501;-0.50;-0.07;
3.66;0.501;-0.40;-0.06;
3.66;0.502;0.10;0.01;
3.67;0.502;0.50;0.07;
3.67;0.503;0.40;0.06;
3.68;0.504;0.90;0.13;
3.68;0.504;-0.40;-0.06;
3.69;0.505;-1.00;-0.15;
3.69;0.506;-1.20;-0.18;
3.70;0.507;-1.10;-0.16;
3.70;0.507;-0.40;-0.06;
3.71;0.508;0.40;0.06;
3.71;0.508;0.70;0.10;
3.72;0.509;0.30;0.04;
3.72;0.510;0.70;0.10;
3.73;0.511;0.30;0.04;
3.73;0.511;0.20;0.03;
3.74;0.512;0.50;0.07;
3.74;0.512;0.70;0.10;
3.75;0.513;1.50;0.22;
3.76;0.514;1.50;0.22;
3.76;0.515;1.20;0.18;
3.77;0.515;1.00;0.15;
3.77;0.516;-0.20;-0.03;
3.78;0.516;-0.50;-0.07;
3.78;0.517;-0.10;-0.01;
3.79;0.518;-0.30;-0.04;
3.79;0.518;0.10;0.01;
3.80;0.519;0.40;0.06;
3.80;0.520;0.10;0.01;
3.81;0.521;-0.10;-0.01;
3.81;0.521;-0.00;-0.00;
3.82;0.522;-1.20;-0.18;
3.82;0.522;-0.80;-0.12;
3.83;0.523;-1.00;-0.15;
3.83;0.524;-0.40;-0.06;
3.84;0.525;0.40;0.06;
3.84;0.525;0.50;0.07;
3.85;0.526;1.20;0.18;
3.85;0.526;1.40;0.20;
3.86;0.527;1.20;0.18;
3.86;0.528;0.70;0.10;
3.87;0.529;0.20;0.03;
